0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1	2	2	1	4	8	6	10	8	4	10	6	
6	1	3	3	1	5	9	7	11	9	5	11	7	
6	1	4	2	9	4	1	6	12	9	2	12	6	
6	1	5	3	8	5	1	7	13	8	3	13	7	
6	1	6	2	11	4	13	6	1	11	2	13	4	
6	1	7	3	10	5	12	7	1	10	3	12	5	
6	1	8	2	5	5	2	8	1	10	13	13	10	
6	1	9	3	4	4	3	9	1	11	12	12	11	
6	1	10	2	7	7	2	8	12	10	1	12	8	
6	1	11	3	6	6	3	9	13	11	1	13	9	
6	1	12	4	7	7	4	9	10	10	9	12	1	
6	1	13	5	6	6	5	8	11	11	8	13	1	
6	1	2	2	1	4	8	6	10	8	4	10	6	
1	2	2	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2	4	4	2	0	0	0	0	0	0	0	0	
6	1	8	2	5	5	2	8	1	10	13	13	10	
2	2	6	6	2	0	0	0	0	0	0	0	0	
6	1	10	2	7	7	2	8	12	10	1	12	8	
2	2	8	8	2	0	0	0	0	0	0	0	0	
6	1	4	2	9	4	1	6	12	9	2	12	6	
2	2	10	10	2	0	0	0	0	0	0	0	0	
6	1	6	2	11	4	13	6	1	11	2	13	4	
4	2	12	4	10	10	4	12	2	0	0	0	0	
4	2	13	6	8	8	6	13	2	0	0	0	0	
6	1	3	3	1	5	9	7	11	9	5	11	7	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1	3	3	0	0	0	0	0	0	0	0	0	0	
6	1	9	3	4	4	3	9	1	11	12	12	11	
2	3	5	5	3	0	0	0	0	0	0	0	0	
6	1	11	3	6	6	3	9	13	11	1	13	9	
2	3	7	7	3	0	0	0	0	0	0	0	0	
6	1	5	3	8	5	1	7	13	8	3	13	7	
2	3	9	9	3	0	0	0	0	0	0	0	0	
6	1	7	3	10	5	12	7	1	10	3	12	5	
2	3	11	11	3	0	0	0	0	0	0	0	0	
4	3	12	7	9	9	7	12	3	0	0	0	0	
4	3	13	5	11	11	5	13	3	0	0	0	0	
6	1	4	2	9	4	1	6	12	9	2	12	6	
2	2	4	4	2	0	0	0	0	0	0	0	0	
6	1	9	3	4	4	3	9	1	11	12	12	11	
1	4	4	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	
2	4	6	6	4	0	0	0	0	0	0	0	0	
6	1	12	4	7	7	4	9	10	10	9	12	1	
6	1	2	2	1	4	8	6	10	8	4	10	6	
2	4	9	9	4	0	0	0	0	0	0	0	0	
4	2	12	4	10	10	4	12	2	0	0	0	0	
4	4	11	6	9	9	6	11	4	0	0	0	0	
2	4	12	12	4	0	0	0	0	0	0	0	0	
6	1	6	2	11	4	13	6	1	11	2	13	4	
6	1	5	3	8	5	1	7	13	8	3	13	7	
6	1	8	2	5	5	2	8	1	10	13	13	10	
2	3	5	5	3	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1	5	5	0	0	0	0	0	0	0	0	0	0	
6	1	13	5	6	6	5	8	11	11	8	13	1	
2	5	7	7	5	0	0	0	0	0	0	0	0	
2	5	8	8	5	0	0	0	0	0	0	0	0	
6	1	3	3	1	5	9	7	11	9	5	11	7	
4	5	10	7	8	8	7	10	5	0	0	0	0	
4	3	13	5	11	11	5	13	3	0	0	0	0	
6	1	7	3	10	5	12	7	1	10	3	12	5	
2	5	13	13	5	0	0	0	0	0	0	0	0	
6	1	6	2	11	4	13	6	1	11	2	13	4	
2	2	6	6	2	0	0	0	0	0	0	0	0	
6	1	11	3	6	6	3	9	13	11	1	13	9	
2	4	6	6	4	0	0	0	0	0	0	0	0	
6	1	13	5	6	6	5	8	11	11	8	13	1	
1	6	6	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	
4	2	13	6	8	8	6	13	2	0	0	0	0	
4	4	11	6	9	9	6	11	4	0	0	0	0	
